<<<<<<< HEAD
Hitotsubashi University,Japan,1
Tokyo Medical and Dental University,Japan,2
Tokyo Medical and Dental University,Japan,2
Gifu University,Japan,3
Gifu University,Japan,3
Ibaraki University,Japan,4
Ibaraki University,Japan,4
Yamaguchi University,Japan,5
Yamaguchi University,Japan,5
Singapore Polytechnic,Singapore,1
Singapore Polytechnic,Singapore,1
Nanyang Academy of Fine Arts,Singapore,2
Nanyang Academy of Fine Arts,Singapore,2
TMC Academy,Singapore,3
TMC Academy,Singapore,3
Curtin University Singapore,Singapore,4
Curtin University Singapore,Singapore,4
Auston Institute of Management,Singapore,5
Auston Institute of Management,Singapore,5
Beijing Institute of Technology,China Mainland,1
Beijing Institute of Technology,China Mainland,1
Tongji University,China Mainland,2
Tongji University,China Mainland,2
East China Normal University,China Mainland,3
East China Normal University,China Mainland,3
Southwest University,China Mainland,4
Southwest University,China Mainland,4
Harbin Institute of Technology,China Mainland,5
Harbin Institute of Technology,China Mainland,5
=======
341000,www,888888,true
241000,www,888888,false
241001,sss,777777,false
341001,ddd,Admin,true
241002,ddd,222222,false
>>>>>>> branch 'main' of git@github.com:Lewieliu987/YourGraduateProgram.git
